"wavfile","trialnr","itemID","word","ppnr","gesturecondition","excelsheet","cross","opmerking"
"61_C1.I.4_cardi¢logo_ppn_016_gesture.wav","61","C1.I.4","cardi¢logo","016","gesture.wav","016.xlsx",NA,"wordt afgekapt, opnieuw knippen"
"62_P.C3.3_ecolog°a_ppn_016_gesture.wav","62","P.C3.3","ecolog°a","016","gesture.wav","016.xlsx",NA,"gaat de annotatie hier goed?"
"96_C2.I.20_aristocracia_ppn_016_gesture.wav","96","C2.I.20","aristocracia","016","gesture.wav","016.xlsx",NA,"zegt aristocrata ipc aristocracia"
"105_C3.I.8_anal°tico_ppn_016_nogesture.wav","105","C3.I.8","anal°tico","016","nogesture.wav","016.xlsx",NA,"item wordt twee keer uitgesproken, alleen de tweede keer is  vloeiend. Welke wordt geannoteerd?"
"122_C3.I.16_geogr†fico_ppn_016_gesture.wav","122","C3.I.16","geogr†fico","016","gesture.wav","016.xlsx",NA,"item wordt twee keer uitgesproken, alleen de tweede keer is  vloeiend. Welke wordt geannoteerd?"
"157_C1.I.4_cardi¢logo_ppn_016_nogesture.wav","157","C1.I.4","cardi¢logo","016","nogesture.wav","016.xlsx",NA,"lichte hapering"
"158_P.C3.3_ecolog°a_ppn_016_nogesture.wav","158","P.C3.3","ecolog°a","016","nogesture.wav","016.xlsx",NA,"item wordt twee keer uitgesproken, alleen de tweede keer is  vloeiend. Welke wordt geannoteerd?"
"170_C1.I.10_satÇlite_ppn_016_nogesture.wav","170","C1.I.10","satÇlite","016","nogesture.wav","016.xlsx",NA,"item wordt twee keer uitgesproken, alleen de tweede keer is  vloeiend. Welke wordt geannoteerd?"
"1_C3.I.9_c°rculo_ppn_017_gesture.wav","1","C3.I.9","c°rculo","017","gesture.wav","017.xlsx",NA,"eind file stuk herhaling - check textgrid"
"2_C3.I.19_esp†rrago_ppn_017_gesture.wav","2","C3.I.19","esp†rrago","017","gesture.wav","017.xlsx",NA,"begint met einde vorige woord en eindigt metherhaling eerste lettergreep esparrago - check textgrid"
